transaction_amount,transaction_hour,account_age_days,num_transactions_last_24h,distance_from_home_km,is_fraud
27.88,1,260,6,6.04,0
40.09,3,120,1,22.05,0
200.68,19,1012,1,6.19,0
73.02,10,239,3,14.46,0
129.43,12,883,2,4.49,0
158.36,20,153,2,10.54,0
48.16,13,55,3,37.24,0
76.8,6,1940,3,22.66,0
75.45,20,239,2,12.15,0
257.87,15,211,3,19.72,0
8.19,16,265,1,7.98,0
215.72,1,72,3,10.85,0
61.1,22,205,1,5.33,0
108.28,19,262,1,5.79,0
44.24,23,1260,4,54.49,0
58.3,6,108,0,29.73,0
96.77,23,1900,2,17.95,0
171.15,20,48,11,63.41,1
61.27,0,65,2,20.14,0
101.73,19,594,0,1.22,0
60.28,1,3,9,13.1,1
74.33,5,477,1,25.62,0
81.25,16,28,0,2.84,0
127.57,18,339,2,2.66,0
243.85,9,95,0,29.4,0
17.5,10,139,7,10.11,1
373.31,20,988,4,28.7,0
111.45,9,463,3,25.14,0
43.94,13,195,2,12.39,0
30.22,3,536,0,23.17,0
73.68,12,213,3,0.53,0
6.98,17,53,1,14.85,0
99.36,17,887,0,19.44,0
57.79,7,243,1,3.05,0
190.92,10,577,2,71.74,0
226.61,9,429,1,1.85,0
84.96,18,848,2,0.06,0
67.12,3,169,0,2.45,0
87.6,3,304,3,9.74,0
45.67,21,23,2,3.49,0
205.65,4,709,0,6.93,0
159.06,22,1067,1,10.7,0
170.65,6,1659,4,0.85,0
54.76,17,496,1,11.92,0
95.92,18,95,2,105.26,0
71.91,3,246,3,7.64,0
66.96,19,843,1,2.86,0
119.46,10,1017,3,21.74,0
30.46,23,168,1,26.05,0
82.74,8,137,2,7.63,0
32.45,13,477,0,22.55,0
127.73,22,76,2,3.52,0
126.1,16,529,2,13.52,0
196.7,20,297,1,16.54,0
176.31,14,487,1,9.83,0
116.3,17,355,0,44.99,0
114.35,23,395,3,22.41,0
60.65,21,167,3,1.14,0
68.01,9,666,0,21.0,0
120.79,0,525,0,3.55,0
94.43,11,37,2,4.83,0
106.23,15,337,2,62.19,0
72.34,21,525,1,5.57,0
216.78,7,34,1,14.94,0
92.94,5,277,1,20.76,0
43.5,20,536,0,5.57,0
27.46,1,619,3,10.7,0
51.5,21,283,2,12.58,0
46.26,23,416,0,7.02,0
143.64,10,847,3,8.95,0
98.86,18,316,1,12.54,0
158.72,14,155,3,0.47,0
25.31,16,72,2,8.63,0
76.92,4,1273,4,12.79,0
64.74,4,909,5,3.03,0
97.36,19,1560,2,21.69,0
82.09,17,166,3,4.67,0
112.14,20,377,3,38.08,0
47.64,16,395,0,0.55,0
115.47,2,137,6,0.67,0
125.21,21,273,0,14.17,0
46.79,6,1067,1,33.08,0
113.37,18,96,4,11.49,0
10.17,0,103,2,47.71,0
16.53,8,129,4,9.17,0
19.31,13,1540,3,8.41,0
86.0,5,64,4,22.25,0
62.98,5,126,2,4.23,0
219.64,8,212,3,23.59,0
55.62,8,647,3,40.83,0
65.75,12,46,1,0.19,0
126.95,21,240,2,12.91,0
117.58,1,192,0,0.73,0
123.8,10,581,2,8.11,0
87.16,15,125,1,19.33,0
43.49,11,613,1,6.38,0
33.63,22,711,3,21.12,0
102.39,0,51,4,29.58,0
79.85,13,89,1,30.62,0
145.34,14,142,2,17.78,0
3.02,23,27,1,13.05,0
236.83,1,14,2,3.15,0
140.27,7,278,3,5.04,0
97.72,6,173,3,6.49,0
